Id;Name;Firstname;Lastname;Age;Birth date;Birth place;Birth country;Nationality;Height;Weight;Injured;Photo;Team id;Team name;Team logo;League id;League name;League country;League logo;League flag;League season;Games appearences;Games lineups;Games minutes;Games number;Games position;Games rating;Games captain;Substitutes in;Substitutes out;Substitutes bench;Shots total;Shots on;Goals total;Goals conceded;Goals assists;Goals saves;Passes total;Passes key;Passes accuracy;Tackles total;Tackles blocks;Tackles interceptions;Duels total;Duels won;Dribbles attempts;Dribbles success;Dribbles past;Fouls drawn;Fouls committed;Cards yellow;Cards yellowred;Cards red;Penalty won;Penalty commited;Penalty scored;Penalty missed;Penalty saved
141208;Manuel Monteagudo Gil;Manuel;Monteagudo Gil;27;1994-12-19;Albacete;Spain;Spain;;;;https://media.api-sports.io/football/players/141208.png;5271;Navalcarnero;https://media.api-sports.io/football/teams/5271.png;143;Copa del Rey;Spain;https://media.api-sports.io/football/leagues/143.png;https://media.api-sports.io/flags/es.svg;2020;4;3;228;;Midfielder;6.300000;;1;3;1;;;0;0;;;38;;26;;;1;4;2;;;;;;0;0;0;;;0;0;
141210;David Gómez Prieto;David;Gómez Prieto;28;1993-10-05;Madrid;Spain;Spain;;;;https://media.api-sports.io/football/players/141210.png;5271;Navalcarnero;https://media.api-sports.io/football/teams/5271.png;143;Copa del Rey;Spain;https://media.api-sports.io/football/leagues/143.png;https://media.api-sports.io/flags/es.svg;2020;0;0;0;;Defender;;;0;0;0;;;0;;;;;;;;;;;;;;;;;0;0;0;;;;;
182505;Álvaro Ramón Álvarez;Álvaro;Ramón Álvarez;21;2000-05-06;Ponferrada;Spain;Spain;;;;https://media.api-sports.io/football/players/182505.png;5271;Navalcarnero;https://media.api-sports.io/football/teams/5271.png;143;Copa del Rey;Spain;https://media.api-sports.io/football/leagues/143.png;https://media.api-sports.io/flags/es.svg;2020;4;1;113;;Defender;6.900000;;3;1;3;1;1;0;0;;;28;1;26;1;;2;1;1;;;;;;0;0;0;;;0;0;
184517;Gonzalo Sáiz Ramírez;Gonzalo;Sáiz Ramírez;27;1994-02-03;;Spain;Spain;;;;https://media.api-sports.io/football/players/184517.png;5271;Navalcarnero;https://media.api-sports.io/football/teams/5271.png;143;Copa del Rey;Spain;https://media.api-sports.io/football/leagues/143.png;https://media.api-sports.io/flags/es.svg;2020;4;3;246;;Midfielder;6.300000;;1;2;1;1;1;0;0;;;42;2;33;1;;1;5;2;;;;1;1;0;0;0;;;0;0;
184714;Aitor González González;Aitor;González González;26;1995-01-18;;Spain;Spain;;;;https://media.api-sports.io/football/players/184714.png;5271;Navalcarnero;https://media.api-sports.io/football/teams/5271.png;143;Copa del Rey;Spain;https://media.api-sports.io/football/leagues/143.png;https://media.api-sports.io/flags/es.svg;2020;0;0;0;;Goalkeeper;;;0;0;3;;;0;;;;;;;;;;;;;;;;;0;0;0;;;;;
184721;Manuel Jaimez Nieto;Manuel;Jaimez Nieto;32;1989-04-24;Madrid;Spain;Spain;;;;https://media.api-sports.io/football/players/184721.png;5271;Navalcarnero;https://media.api-sports.io/football/teams/5271.png;143;Copa del Rey;Spain;https://media.api-sports.io/football/leagues/143.png;https://media.api-sports.io/flags/es.svg;2020;4;4;360;;Defender;6.000000;;0;0;0;;;1;0;;;66;;51;;2;2;5;2;;;;;;0;0;0;;;0;0;
187540;Alberto Alonso Lozano;Alberto;Alonso Lozano;27;1994-11-14;Fuensalida;Spain;Spain;;;;https://media.api-sports.io/football/players/187540.png;5271;Navalcarnero;https://media.api-sports.io/football/teams/5271.png;143;Copa del Rey;Spain;https://media.api-sports.io/football/leagues/143.png;https://media.api-sports.io/flags/es.svg;2020;2;0;50;;Midfielder;6.700000;;2;0;2;;;0;0;;;31;;26;1;;1;4;4;;;;1;;0;0;0;;;0;0;
188342;Carlos Saturnino Pérez Molares;Carlos Saturnino;Pérez Molares;22;1999-02-24;;Spain;Spain;;;;https://media.api-sports.io/football/players/188342.png;15306;Ribadumia;https://media.api-sports.io/football/teams/15306.png;143;Copa del Rey;Spain;https://media.api-sports.io/football/leagues/143.png;https://media.api-sports.io/flags/es.svg;2020;1;1;90;;Defender;6.700000;;0;0;0;;;0;0;;;33;;22;1;1;4;8;5;1;;;2;;0;0;0;;;0;0;
285193;Roberto Pazos Agra;Roberto;Pazos Agra;40;1981-01-21;;Spain;Spain;188 cm;83 kg;;https://media.api-sports.io/football/players/285193.png;15306;Ribadumia;https://media.api-sports.io/football/teams/15306.png;143;Copa del Rey;Spain;https://media.api-sports.io/football/leagues/143.png;https://media.api-sports.io/flags/es.svg;2020;1;1;90;;Goalkeeper;9.300000;;0;0;0;;;0;2;;10;30;;15;;;;;;;;;;;0;0;0;;;0;0;1
285194;Pablo Rial Agra;Pablo;Rial Agra;20;2001-03-28;;Spain;Spain;;;;https://media.api-sports.io/football/players/285194.png;15306;Ribadumia;https://media.api-sports.io/football/teams/15306.png;143;Copa del Rey;Spain;https://media.api-sports.io/football/leagues/143.png;https://media.api-sports.io/flags/es.svg;2020;0;0;0;;Goalkeeper;;;0;0;1;;;0;0;;;;;;;;;;;;;;;;0;0;0;;;0;0;1
285195;Eloy Conde Señoráns;Eloy;Conde Señoráns;27;1994-06-25;;Spain;Spain;;;;https://media.api-sports.io/football/players/285195.png;15306;Ribadumia;https://media.api-sports.io/football/teams/15306.png;143;Copa del Rey;Spain;https://media.api-sports.io/football/leagues/143.png;https://media.api-sports.io/flags/es.svg;2020;0;0;0;;Defender;;;0;0;1;;;0;0;;;;;;;;;;;;;;;;0;0;0;;;0;0;
